year,month,driver,passenger,cyclist,pedestrian
2008,1,34,8,3,14
2008,2,19,8,0,13
2008,3,18,7,1,7
2008,4,30,8,1,11
2008,5,28,7,1,10
2008,6,30,8,5,8
2008,7,30,10,1,14
2008,8,31,12,4,5
2008,9,25,10,2,9
2008,10,29,14,1,16
2008,11,28,12,1,11
2008,12,18,8,0,20
2009,1,24,9,0,24
2009,2,23,7,0,15
2009,3,14,10,0,11
2009,4,30,7,0,11
2009,5,23,5,2,13
2009,6,34,7,3,7
2009,7,32,8,3,13
2009,8,27,15,2,13
2009,9,33,9,2,8
2009,10,22,6,0,14
2009,11,24,10,2,13
2009,12,29,5,0,15
2010,1,22,9,0,6
2010,2,12,4,1,11
2010,3,28,7,0,10
2010,4,27,10,1,17
2010,5,20,7,1,12
2010,6,32,10,1,9
2010,7,35,14,3,9
2010,8,26,9,0,7
2010,9,26,15,4,11
2010,10,28,8,0,14
2010,11,20,2,1,16
2010,12,27,4,1,19
2011,1,18,5,1,12
2011,2,23,13,0,9
2011,3,26,7,0,14
2011,4,36,10,0,11
2011,5,36,8,3,10
2011,6,31,7,2,9
2011,7,36,13,2,9
2011,8,30,9,3,5
2011,9,32,7,2,9
2011,10,35,11,1,19
2011,11,24,9,1,19
2011,12,35,6,2,17
2012,1,26,9,1,16
2012,2,15,11,3,11
2012,3,25,7,1,12
2012,4,29,5,1,9
2012,5,28,6,1,9
2012,6,31,9,2,6
2012,7,26,12,1,19
2012,8,18,8,1,17
2012,9,28,9,1,16
2012,10,31,12,1,10
2012,11,31,9,1,15
2012,12,21,6,0,23
2013,1,22,7,2,11
2013,2,8,5,0,8
2013,3,19,8,3,27
2013,4,22,3,0,7
2013,5,31,5,1,9
2013,6,30,13,3,6
2013,7,27,8,0,6
2013,8,36,13,2,9
2013,9,31,2,0,10
2013,10,22,9,0,11
2013,11,32,8,0,12
2013,12,24,11,3,16
2014,1,23,2,1,13
2014,2,15,3,1,12
2014,3,26,4,1,17
2014,4,24,10,0,9
2014,5,24,11,2,13
2014,6,31,10,2,9
2014,7,30,11,0,9
2014,8,31,12,0,14
2014,9,28,7,1,12
2014,10,16,2,1,20
2014,11,23,7,1,13
2014,12,24,1,1,29
2015,1,21,6,0,14
2015,2,15,10,0,12
2015,3,14,6,2,18
2015,4,17,4,1,8
2015,5,31,9,0,10
2015,6,32,6,2,15
2015,7,21,11,2,12
2015,8,25,7,2,11
2015,9,28,9,6,14
2015,10,23,8,1,13
2015,11,24,8,1,20
2015,12,25,12,0,26
2016,1,20,8,0,14
2016,2,23,7,0,12
2016,3,26,8,0,10
2016,4,25,2,1,14
2016,5,32,5,2,12
2016,6,26,11,1,9
2016,7,40,9,0,11
2016,8,32,9,3,17
2016,9,29,9,2,8
2016,10,22,11,5,22
2016,11,25,9,2,16
2016,12,31,1,1,21
2017,1,21,5,2,17
2017,2,15,4,2,4
2017,3,21,7,0,17
2017,4,30,5,0,9
2017,5,26,11,0,8
2017,6,35,10,2,12
2017,7,34,8,1,19
2017,8,30,5,2,14
2017,9,35,11,1,15
2017,10,33,6,6,20
2017,11,30,8,1,25
2017,12,29,5,0,23
2018,1,24,7,1,20
2018,2,16,10,1,14
2018,3,12,4,0,8
2018,4,28,7,1,9
2018,5,27,9,3,11
2018,6,33,5,3,10
2018,7,24,16,2,17
2018,8,22,1,0,13
2018,9,16,7,3,18
2018,10,28,10,2,19
2018,11,26,13,0,16
2018,12,20,6,1,20
2019,1,19,9,0,17
2019,2,17,8,0,15
2019,3,15,5,0,14
2019,4,27,3,1,10
2019,5,23,6,3,12
2019,6,26,7,0,12
2019,7,28,10,1,10
2019,8,30,7,2,13
2019,9,36,6,1,22
2019,10,27,11,0,23
2019,11,21,3,2,5
2019,12,20,6,2,23
2020,1,21,8,2,18
2020,2,15,2,0,17
2020,3,11,8,1,16
2020,4,17,2,1,8
2020,5,28,9,2,13
2020,6,30,9,0,8
2020,7,30,8,5,19
2020,8,31,14,1,8
2020,9,31,5,0,21
2020,10,33,5,3,17
2020,11,35,9,3,16
2020,12,22,7,0,18
2021,1,29,5,0,15
2021,2,17,5,0,4
2021,3,34,7,1,13
2021,4,18,6,1,17
2021,5,23,6,4,12
2021,6,36,5,3,19
2021,7,35,10,5,18
2021,8,34,5,1,26
2021,9,40,11,3,15
2021,10,43,6,3,30
2021,11,29,11,3,28
2021,12,30,9,2,20
2022,1,28,7,0,17
2022,2,22,4,0,14
2022,3,31,3,1,11
2022,4,26,7,6,10
2022,5,42,8,4,15
2022,6,44,10,0,14
2022,7,41,20,1,15
2022,8,32,11,0,13
2022,9,32,13,3,20
2022,10,31,3,0,23
2022,11,29,11,0,17
2022,12,21,6,1,22
2023,1,17,5,2,24
2023,2,22,4,0,11
2023,3,17,4,1,12
2023,4,24,4,0,11
2023,5,29,10,0,9
2023,6,40,8,2,10
2023,7,28,10,6,5
2023,8,35,11,3,11
2023,9,25,3,5,16
2023,10,29,13,4,18
2023,11,30,7,3,20
2023,12,23,10,1,24
2024,1,16,7,0,25
2024,2,26,8,2,15
2024,3,29,7,1,13
2024,4,28,7,0,20
2024,5,28,8,1,11
2024,6,37,7,4,16
2024,7,29,1,2,13
2024,8,29,8,4,20
2024,9,37,7,1,17
2024,10,39,11,2,28
2024,11,29,6,1,32
2024,12,23,9,0,20
